rating,text,parent_asin,review_timestamp,title,item_model_number,involved_in_incident,sentiment_score_raw,sentiment_score,incident_description_safety_terms,text_safety_terms,involved_in_recall,recall_summary
5.0,"i like the low volts, charges quickly, the cost, the size, fast delivery.",b076c58ymx,2018-11-16,Wall Charger Abosi 3 Pack 5V 1A UL Certified Universal Power Adapter USB 1 Port Home Wall Charger Plug Compatible with iPhone Samsung and More Device UL Listed,tpa95a050100uu,False,-0.1779,-0.1779,[],[],True,"this recall involves the black power adapter sold with the nook tablet 7"". the adapter bears markings: model number tpa-95a050100uu, manufacture date 201610. the nook tablet 7"" model number bntv450 is located on the back of the nook."
5.0,"for those that keep having batteries fail due to heat, this is a great option. if you charge a phone overnight at 1 amp, your battery will last longer.",b076c58ymx,2021-11-11,Wall Charger Abosi 3 Pack 5V 1A UL Certified Universal Power Adapter USB 1 Port Home Wall Charger Plug Compatible with iPhone Samsung and More Device UL Listed,tpa95a050100uu,False,0.1531,0.1531,[],[],True,"this recall involves the black power adapter sold with the nook tablet 7"". the adapter bears markings: model number tpa-95a050100uu, manufacture date 201610. the nook tablet 7"" model number bntv450 is located on the back of the nook."
3.0,"they work but over heat very quickly (whether charging ear buds, ear phones, smart phone, or tablet). also, because they are wide, they block neighboring outlets on power strip.",b076c58ymx,2021-02-13,Wall Charger Abosi 3 Pack 5V 1A UL Certified Universal Power Adapter USB 1 Port Home Wall Charger Plug Compatible with iPhone Samsung and More Device UL Listed,tpa95a050100uu,False,-0.0772,-0.0772,[],[],True,"this recall involves the black power adapter sold with the nook tablet 7"". the adapter bears markings: model number tpa-95a050100uu, manufacture date 201610. the nook tablet 7"" model number bntv450 is located on the back of the nook."
4.0,small and works fine,b076c58ymx,2019-05-10,Wall Charger Abosi 3 Pack 5V 1A UL Certified Universal Power Adapter USB 1 Port Home Wall Charger Plug Compatible with iPhone Samsung and More Device UL Listed,tpa95a050100uu,False,0.2023,0.2023,[],[],True,"this recall involves the black power adapter sold with the nook tablet 7"". the adapter bears markings: model number tpa-95a050100uu, manufacture date 201610. the nook tablet 7"" model number bntv450 is located on the back of the nook."
5.0,great inexpensive option for wall outlets.,b076c58ymx,2018-11-07,Wall Charger Abosi 3 Pack 5V 1A UL Certified Universal Power Adapter USB 1 Port Home Wall Charger Plug Compatible with iPhone Samsung and More Device UL Listed,tpa95a050100uu,False,0.6249,0.6249,[],[],True,"this recall involves the black power adapter sold with the nook tablet 7"". the adapter bears markings: model number tpa-95a050100uu, manufacture date 201610. the nook tablet 7"" model number bntv450 is located on the back of the nook."
5.0,i carry this with my phone as sometimes you can't find a usb or to hook up your phone to charge.<br />wouldn't hunt quail without your shotgun? but i  am sure there are some that don't.<br />i recommend these handy charging plug-ins.,b076c58ymx,2022-12-28,Wall Charger Abosi 3 Pack 5V 1A UL Certified Universal Power Adapter USB 1 Port Home Wall Charger Plug Compatible with iPhone Samsung and More Device UL Listed,tpa95a050100uu,False,0.0734,0.0734,[],[],True,"this recall involves the black power adapter sold with the nook tablet 7"". the adapter bears markings: model number tpa-95a050100uu, manufacture date 201610. the nook tablet 7"" model number bntv450 is located on the back of the nook."
5.0,"pack included 3 chargers.  used one, it worked fine.  transfers data.  doesn't take up an extra space on the power strip, looks well made.  arrived on time.",b076c58ymx,2019-02-13,Wall Charger Abosi 3 Pack 5V 1A UL Certified Universal Power Adapter USB 1 Port Home Wall Charger Plug Compatible with iPhone Samsung and More Device UL Listed,tpa95a050100uu,False,0.4404,0.4404,[],[],True,"this recall involves the black power adapter sold with the nook tablet 7"". the adapter bears markings: model number tpa-95a050100uu, manufacture date 201610. the nook tablet 7"" model number bntv450 is located on the back of the nook."
5.0,for money,b076c58ymx,2021-01-27,Wall Charger Abosi 3 Pack 5V 1A UL Certified Universal Power Adapter USB 1 Port Home Wall Charger Plug Compatible with iPhone Samsung and More Device UL Listed,tpa95a050100uu,False,0.0,0.0,[],[],True,"this recall involves the black power adapter sold with the nook tablet 7"". the adapter bears markings: model number tpa-95a050100uu, manufacture date 201610. the nook tablet 7"" model number bntv450 is located on the back of the nook."
5.0,great chargers,b076c58ymx,2020-01-05,Wall Charger Abosi 3 Pack 5V 1A UL Certified Universal Power Adapter USB 1 Port Home Wall Charger Plug Compatible with iPhone Samsung and More Device UL Listed,tpa95a050100uu,False,0.6249,0.6249,[],[],True,"this recall involves the black power adapter sold with the nook tablet 7"". the adapter bears markings: model number tpa-95a050100uu, manufacture date 201610. the nook tablet 7"" model number bntv450 is located on the back of the nook."
5.0,"needed usb charging solution for travel and these help solve that problem.  can be used with different usb type connections for phones, ipad, toothbrush etc.",b076c58ymx,2019-08-20,Wall Charger Abosi 3 Pack 5V 1A UL Certified Universal Power Adapter USB 1 Port Home Wall Charger Plug Compatible with iPhone Samsung and More Device UL Listed,tpa95a050100uu,False,0.4767,0.4767,[],[],True,"this recall involves the black power adapter sold with the nook tablet 7"". the adapter bears markings: model number tpa-95a050100uu, manufacture date 201610. the nook tablet 7"" model number bntv450 is located on the back of the nook."
