rating,text,parent_asin,review_timestamp,title,item_model_number,involved_in_incident,sentiment_score_raw,sentiment_score,incident_description_safety_terms,text_safety_terms,involved_in_recall,recall_summary
5.0,i bought this about 3-4 years ago to replace the old one that died. it's still installed in the car to this day. gave no problem at all and has worked like a charm!,b07xdxg45h,2023-08-23,TUPARTS Starter Fit for HONDA for Accord 08 09 10 11 12 2.4L 2354CC l4 Gas 31200-R41-L01 SM73002,adjustable,False,0.4854,0.4854,[],[],True,"april 17, 1995 release # 95-102 washington, dc - cpsc, the kmart corporation of troy, mich., is recalling 148,990 desk chairs. the chair's seat post may unexpectedly separate from the pedestal base, causing someone sitting in the chair to fall.consumers can identify the recalled chairs by kmart product code 21-86-61, item code 010218661114, printed on the outside of the retail carton. the chairs do not have an item number printed on them. the chair, which kmart sold nationwide from july 1993 to march 1995 for $29.99, was packaged unassembled in a cardboard box labeled in part ""basic designs adjustable office chair *** made in taiwan"". the gray upholstered rotary desk chair has a non-tilt seat and fixed back. the seat is attached to a five-prong metal pedestal base by a one-inch wide steel rod. there are two wheel casters on each prong of the pedestal base. the kmart corporation reported this hazard to cpsc after receiving seven reports of the seat unexpectedly detaching from the pedestal base.consumers who own these chairs should stop using them immediately and return the chairs to any k-mart store for a refund. replacement chairs will be available after may 15, 1995. consumers who need more information about this recall should contact any kmart store"
5.0,"i'm chintzy with my 5-star ratings, but this dessicator deserves one. a lot of chemical glassware carries an implicit &#34;chemistry grade&#34; price bump, but this is a great piece, very robust (didn't chip on some moderate banging about, didn't crack on use in an oven heat and a quick removal to room temp). it *could* be improved upon with a vacuum barb, but if you don't need one, why pay for it? lip surfaces are very flat, lightly etched, and don't warp in oven temperatures. no problems with seal-lock either. best piece of glassware i've bought it quite a while.",b00657xikg,2018-04-05,"American Educational Glass Desiccator with Porcelain Plate, 200mm ID",7200001,False,0.9733,0.9733,[],"['fracture', 'crack']",True,"this recall involves the beefmaster explorer outdoor gas grill model number 720-0001. the tabletop grill is made of stainless steel and is used with a disposable propane cylinder, which is purchased separately. each grill has one main burner and a cooking grid that sits over the burner. model numbers are located on the back panel of the grill. the brand name ""nexgrill"" is on a plate on the grill lid."
2.0,product damaged. look like it had been used for something and then put in the box. because the box was not damaged.,b002jgrqx2,2021-10-04,"Harper Nylon Hand Truck - 21""Wx48""H",pgcsk19blk,False,0.2514,0.2514,[],[],True,"this recall involves harper trucks hand trucks with model numbers and type of wheels listed below. ""harper truck"" and the model number can be found on an adhesive sticker on the hand truck frame's cross member. hand trucks with two-piece, grey metal wheels are not included in this recall. model number type of handle type of wheel k52k16 p handle 1-piece, composite jedtk1935p dual hand/platform truck (convertible) 3-piece, four bolt, metal/chrome plated 51tk19 dual handles 3-piece, four bolt, metal/chrome plated bktak19 p handle 3-piece, four bolt, metal/chrome plated pgcsk19blk dual hand 3-piece, four bolt, metal/chrome plated"
4.0,"looks like we are going to continue to need masks for a while.  this review is for a box of 50 disposable masks.<br /><br />they come packaged into 5 plastic bags of 10 masks in each box, so easy to pull out 10 to stick in your car or near the door of your house to grab when you leave.  they are the ear model, so two bands that go behind your ear, folds to make it larger to cover your face, and a wire in the nose.  i usually use a cloth mask, but have heard that these disposable, especially with a cloth mask over to hold it tightly to your face, provide a good amount of protection.  when i know i will be in contact with someone who is infected, i will use a full n-95, but for trips to the store, these are perfect.<br /><br />so far the first 10 are fine.  none of the straps came loose, they all folded our right, they didn't break when putting them on or taking them off.  many of the early masks, as companies were getting into producing them, seemed to have issues with the loops coming loose or not opening as they should.  these do not seem to have any issues like those, appear to be good quality and a fair price.",b0bg56lkgj,2022-01-11,"50pcs Kids Disposable Face Masks, 3 Ply Kids Masks Disposable Colorful Cute Face masks for Children, Girls & Boys",disposable,False,0.8369,0.8369,[],"['loose', 'breakage', 'fracture', 'break', 'crack']",True,"cigarette lighters recalled by halpern import news from cpsc u.s. consumer product safety commission office of information and public affairs washington, dc 20207 for immediate release september 28, 2000 release # 00-189 halpern recall hotline: (800) 624-5280 cpsc consumer hotline: (800) 638-2772 cpsc media contact: ken giles, (301) 504-7052 cpsc, halpern import co. announce recall of cigarette lighters washington, d.c. - in cooperation with the u.s. consumer product safety commission (cpsc), halpern import co. inc., of atlanta, ga., is recalling about 350,000 disposable cigarette lighters. these lighters can burn with a high flame and can fail to extinguish, presenting fire and burn hazards. cpsc and halpern import co. have received one report of a woman who received second degree burns on her chest when the lighter failed to extinguish and ignited her clothing. the disposable cigarette lighters being recalled are oval-tube- shaped. ""turbo 2000"" is printed on the body of the lighter. the lighters have a green, red, blue, black or yellow body and a metal top. a label on the lighter reads ""child-resistant disposable lighter,"" ""keep out of reach of children,"" and ""made in china."" upc number 0 80692 05010 1 is printed on the back of the lighters. tobacco and thrift stores nationwide sold these lighters from june 1999 through may 2000 for about $1. consumers immediately should stop using these lighters and return them to the store where purchased for a refund. for more information, consumers should call halpern import co. at (800) 624-5280 between 9 a.m. and 5 p.m. et monday through friday."
4.0,these masks are light and comfortable. the thin ear straps are not so strong elastic as to bother me by being too tight. the thin straps are a better choice for me because i also wear hearing aids in both ears.<br /><br />i recommend these masks,b0bg56lkgj,2021-12-22,"50pcs Kids Disposable Face Masks, 3 Ply Kids Masks Disposable Colorful Cute Face masks for Children, Girls & Boys",disposable,False,0.4407,0.4407,[],"['loose', 'weak', 'fragile', 'flimsy']",True,"cigarette lighters recalled by halpern import news from cpsc u.s. consumer product safety commission office of information and public affairs washington, dc 20207 for immediate release september 28, 2000 release # 00-189 halpern recall hotline: (800) 624-5280 cpsc consumer hotline: (800) 638-2772 cpsc media contact: ken giles, (301) 504-7052 cpsc, halpern import co. announce recall of cigarette lighters washington, d.c. - in cooperation with the u.s. consumer product safety commission (cpsc), halpern import co. inc., of atlanta, ga., is recalling about 350,000 disposable cigarette lighters. these lighters can burn with a high flame and can fail to extinguish, presenting fire and burn hazards. cpsc and halpern import co. have received one report of a woman who received second degree burns on her chest when the lighter failed to extinguish and ignited her clothing. the disposable cigarette lighters being recalled are oval-tube- shaped. ""turbo 2000"" is printed on the body of the lighter. the lighters have a green, red, blue, black or yellow body and a metal top. a label on the lighter reads ""child-resistant disposable lighter,"" ""keep out of reach of children,"" and ""made in china."" upc number 0 80692 05010 1 is printed on the back of the lighters. tobacco and thrift stores nationwide sold these lighters from june 1999 through may 2000 for about $1. consumers immediately should stop using these lighters and return them to the store where purchased for a refund. for more information, consumers should call halpern import co. at (800) 624-5280 between 9 a.m. and 5 p.m. et monday through friday."
4.0,"it's priced appropriately for what it is - an inexpensive, chinese-made lab desiccator.  the glass is thin and comes with the obligatory chips around the rim.",b00657xikg,2016-11-28,"American Educational Glass Desiccator with Porcelain Plate, 200mm ID",7200001,False,0.0,0.0,[],"['fragile', 'flimsy']",True,"this recall involves the beefmaster explorer outdoor gas grill model number 720-0001. the tabletop grill is made of stainless steel and is used with a disposable propane cylinder, which is purchased separately. each grill has one main burner and a cooking grid that sits over the burner. model numbers are located on the back panel of the grill. the brand name ""nexgrill"" is on a plate on the grill lid."
3.0,better right one now have to install it thxs,b086p7b8ly,2020-07-29,LSAILON 17841 Starter Replacement for 2003-2008 for Pontiac Vibe 2003-2008 for Toyota Corolla 2003-2008 for Toyota Matrix,adjustable,False,0.4404,0.4404,[],[],True,"april 17, 1995 release # 95-102 washington, dc - cpsc, the kmart corporation of troy, mich., is recalling 148,990 desk chairs. the chair's seat post may unexpectedly separate from the pedestal base, causing someone sitting in the chair to fall.consumers can identify the recalled chairs by kmart product code 21-86-61, item code 010218661114, printed on the outside of the retail carton. the chairs do not have an item number printed on them. the chair, which kmart sold nationwide from july 1993 to march 1995 for $29.99, was packaged unassembled in a cardboard box labeled in part ""basic designs adjustable office chair *** made in taiwan"". the gray upholstered rotary desk chair has a non-tilt seat and fixed back. the seat is attached to a five-prong metal pedestal base by a one-inch wide steel rod. there are two wheel casters on each prong of the pedestal base. the kmart corporation reported this hazard to cpsc after receiving seven reports of the seat unexpectedly detaching from the pedestal base.consumers who own these chairs should stop using them immediately and return the chairs to any k-mart store for a refund. replacement chairs will be available after may 15, 1995. consumers who need more information about this recall should contact any kmart store"
5.0,"like many with my motor, the top broke on the dipstick. oem from dealer was a week out and double the price.<br />this was the perfect match.",b086rjl6kz,2021-12-03,"OCPTY Transmission Oil Level Dipstick For Chrysler 300 5.7L V8 2005-2008 26.57"" Dipstick Gaug",adjustable,False,0.6369,0.6369,[],[],True,"april 17, 1995 release # 95-102 washington, dc - cpsc, the kmart corporation of troy, mich., is recalling 148,990 desk chairs. the chair's seat post may unexpectedly separate from the pedestal base, causing someone sitting in the chair to fall.consumers can identify the recalled chairs by kmart product code 21-86-61, item code 010218661114, printed on the outside of the retail carton. the chairs do not have an item number printed on them. the chair, which kmart sold nationwide from july 1993 to march 1995 for $29.99, was packaged unassembled in a cardboard box labeled in part ""basic designs adjustable office chair *** made in taiwan"". the gray upholstered rotary desk chair has a non-tilt seat and fixed back. the seat is attached to a five-prong metal pedestal base by a one-inch wide steel rod. there are two wheel casters on each prong of the pedestal base. the kmart corporation reported this hazard to cpsc after receiving seven reports of the seat unexpectedly detaching from the pedestal base.consumers who own these chairs should stop using them immediately and return the chairs to any k-mart store for a refund. replacement chairs will be available after may 15, 1995. consumers who need more information about this recall should contact any kmart store"
1.0,mask ear strings are just glued & not strong. which is easy broken when wearing.,b0bg56lkgj,2022-03-13,"50pcs Kids Disposable Face Masks, 3 Ply Kids Masks Disposable Colorful Cute Face masks for Children, Girls & Boys",disposable,False,-0.4408,-0.4408,[],['loose'],True,"cigarette lighters recalled by halpern import news from cpsc u.s. consumer product safety commission office of information and public affairs washington, dc 20207 for immediate release september 28, 2000 release # 00-189 halpern recall hotline: (800) 624-5280 cpsc consumer hotline: (800) 638-2772 cpsc media contact: ken giles, (301) 504-7052 cpsc, halpern import co. announce recall of cigarette lighters washington, d.c. - in cooperation with the u.s. consumer product safety commission (cpsc), halpern import co. inc., of atlanta, ga., is recalling about 350,000 disposable cigarette lighters. these lighters can burn with a high flame and can fail to extinguish, presenting fire and burn hazards. cpsc and halpern import co. have received one report of a woman who received second degree burns on her chest when the lighter failed to extinguish and ignited her clothing. the disposable cigarette lighters being recalled are oval-tube- shaped. ""turbo 2000"" is printed on the body of the lighter. the lighters have a green, red, blue, black or yellow body and a metal top. a label on the lighter reads ""child-resistant disposable lighter,"" ""keep out of reach of children,"" and ""made in china."" upc number 0 80692 05010 1 is printed on the back of the lighters. tobacco and thrift stores nationwide sold these lighters from june 1999 through may 2000 for about $1. consumers immediately should stop using these lighters and return them to the store where purchased for a refund. for more information, consumers should call halpern import co. at (800) 624-5280 between 9 a.m. and 5 p.m. et monday through friday."
5.0,they worked on my amp that used the small flat inlets connections. common with most kicker amps. i used in cxa400.1.,b07wjm4zgv,2021-06-19,2 Pairs Copper Gold Plated 0 Gauge Spade Terminal Crimp Connectors Adapters Crimp Barrier Spades for Speaker Wire Cable Terminal Plug - 0GA (Red and Black),adjustable,False,0.0,0.0,[],[],True,"april 17, 1995 release # 95-102 washington, dc - cpsc, the kmart corporation of troy, mich., is recalling 148,990 desk chairs. the chair's seat post may unexpectedly separate from the pedestal base, causing someone sitting in the chair to fall.consumers can identify the recalled chairs by kmart product code 21-86-61, item code 010218661114, printed on the outside of the retail carton. the chairs do not have an item number printed on them. the chair, which kmart sold nationwide from july 1993 to march 1995 for $29.99, was packaged unassembled in a cardboard box labeled in part ""basic designs adjustable office chair *** made in taiwan"". the gray upholstered rotary desk chair has a non-tilt seat and fixed back. the seat is attached to a five-prong metal pedestal base by a one-inch wide steel rod. there are two wheel casters on each prong of the pedestal base. the kmart corporation reported this hazard to cpsc after receiving seven reports of the seat unexpectedly detaching from the pedestal base.consumers who own these chairs should stop using them immediately and return the chairs to any k-mart store for a refund. replacement chairs will be available after may 15, 1995. consumers who need more information about this recall should contact any kmart store"
