rating,text,parent_asin,review_timestamp,title,item_model_number,involved_in_incident,sentiment_score_raw,sentiment_score,incident_description_safety_terms,text_safety_terms,involved_in_recall,recall_summary
4.0,bought this for my granddaughter for christmas and she loved it! she plays school almost everyday when she gets home!,b08mb3cjd6,2022-01-15,"Litti City Play School Set for Kids | Dress Up & Pretend Play Costume for Boys & Girls | Teacher Bag, Whiteboard & More | Interactive Play Learning Toys | Gifts for 3-5+ Year Old",none,False,0.7568,0.7568,[],[],True,"this recall involves two litti city dress-up playsets, one litte pritti dress-up playset and prextex-branded diy take-along slime eggs. the litti city premier doctor playset (amazon asin b07wmx25sv) consists of a white doctor outfit and accessories, including blue glasses, yellow stethoscope and bandages, and a book. the litti city teacher purse playset (amazon asin b08mb3cjd6) consists of a green purse and accessories, including glasses, markers, rules, eraser, hall passes, learning charts and stickers. the litti pritti handbag playset (amazon asin b06xqxmqfd) includes a pink purse, wallet, make-up, keys and cell phone. the 12 clear plastic slime eggs are filled with slime in varying colors and come in a blue plastic egg container with www.prextex.com embossed on the top. the set includes seven mini bottles of shaped beads and 12 straws."
5.0,this play purse seemed expensive when i ordered it but it’s so nice!! it’s worth the money.,b06xqxmqfd,2021-05-25,"Litti Pritti Play Purse for Little Girls, Toddler Purse Set w/ Accessories, Fashion Girl Toys, Toy Purses, Includes: Handbag, Toy Phone, Pretend Play Makeup, Wallet, & More, Girls Ages 3+ Years Old",65101,False,0.8736,0.8736,[],[],True,"this recall involves two litti city dress-up playsets, one litte pritti dress-up playset and prextex-branded diy take-along slime eggs. the litti city premier doctor playset (amazon asin b07wmx25sv) consists of a white doctor outfit and accessories, including blue glasses, yellow stethoscope and bandages, and a book. the litti city teacher purse playset (amazon asin b08mb3cjd6) consists of a green purse and accessories, including glasses, markers, rules, eraser, hall passes, learning charts and stickers. the litti pritti handbag playset (amazon asin b06xqxmqfd) includes a pink purse, wallet, make-up, keys and cell phone. the 12 clear plastic slime eggs are filled with slime in varying colors and come in a blue plastic egg container with www.prextex.com embossed on the top. the set includes seven mini bottles of shaped beads and 12 straws."
5.0,cool little kit.  easy to put together.  the wings can come off rather easily if you or your kids play rough with it.,b00nhqicqi,2017-11-07,LEGO Star Wars Snowspeeder Toy,6100100,False,0.8281,0.8281,[],['loose'],True,"this recall involves combi shuttle model strollers and car seats, which when used together are called a travel system. the strollers and car seats have model number 6100027 or 6100100 printed on a label on the base of the car seat and stroller's leg. the car seat and stroller were sold in titanium (silver) and red chili (red) colors. combi is printed on the front of the stroller and the car seat. shuttle is printed above the model number."
5.0,my niece loved it!  i placed her picture on the id included. just wished a story of a little girl doctor was available v,b07wmx25sv,2020-01-09,"Litti City Doctor Costume for Kids, Play Doctor Set for Kids, Doctor/Vet, Playset Includes: Lab Coat (3T), Functional Stethoscope & Pretend Medical Supplies, Toy Doctor Kit for Toddlers 3-5 Years Old",65103,False,0.636,0.636,[],[],True,"this recall involves two litti city dress-up playsets, one litte pritti dress-up playset and prextex-branded diy take-along slime eggs. the litti city premier doctor playset (amazon asin b07wmx25sv) consists of a white doctor outfit and accessories, including blue glasses, yellow stethoscope and bandages, and a book. the litti city teacher purse playset (amazon asin b08mb3cjd6) consists of a green purse and accessories, including glasses, markers, rules, eraser, hall passes, learning charts and stickers. the litti pritti handbag playset (amazon asin b06xqxmqfd) includes a pink purse, wallet, make-up, keys and cell phone. the 12 clear plastic slime eggs are filled with slime in varying colors and come in a blue plastic egg container with www.prextex.com embossed on the top. the set includes seven mini bottles of shaped beads and 12 straws."
5.0,my daughter just turned 5 in november and she loves to play dress up and pretend. this was an amazing gift for her! it’s a cute purse ; something i would actually use ! inside with the wallet comes the debit cards and fake cash and place for an id you can make. the lip stick is cute and the powder was so life like. i thought it was real … i still check my fingers just to be sure it’s fake after playing with her cause it feels so real. you can use to as a handheld purse or it comes with a strap! there’s a little cell phone with it as well! this was a great gift! not cheap and crappy looking like others i’ve seen and bought! great and i mean great gift idea !!!,b06xqxmqfd,2023-01-01,"Litti Pritti Play Purse for Little Girls, Toddler Purse Set w/ Accessories, Fashion Girl Toys, Toy Purses, Includes: Handbag, Toy Phone, Pretend Play Makeup, Wallet, & More, Girls Ages 3+ Years Old",65101,False,0.9922,0.9922,[],[],True,"this recall involves two litti city dress-up playsets, one litte pritti dress-up playset and prextex-branded diy take-along slime eggs. the litti city premier doctor playset (amazon asin b07wmx25sv) consists of a white doctor outfit and accessories, including blue glasses, yellow stethoscope and bandages, and a book. the litti city teacher purse playset (amazon asin b08mb3cjd6) consists of a green purse and accessories, including glasses, markers, rules, eraser, hall passes, learning charts and stickers. the litti pritti handbag playset (amazon asin b06xqxmqfd) includes a pink purse, wallet, make-up, keys and cell phone. the 12 clear plastic slime eggs are filled with slime in varying colors and come in a blue plastic egg container with www.prextex.com embossed on the top. the set includes seven mini bottles of shaped beads and 12 straws."
5.0,"she loved it!! perfect for someone turning 6, she walked around with it the whole rest of the party",b06xqxmqfd,2021-09-27,"Litti Pritti Play Purse for Little Girls, Toddler Purse Set w/ Accessories, Fashion Girl Toys, Toy Purses, Includes: Handbag, Toy Phone, Pretend Play Makeup, Wallet, & More, Girls Ages 3+ Years Old",65101,False,0.8975,0.8975,[],[],True,"this recall involves two litti city dress-up playsets, one litte pritti dress-up playset and prextex-branded diy take-along slime eggs. the litti city premier doctor playset (amazon asin b07wmx25sv) consists of a white doctor outfit and accessories, including blue glasses, yellow stethoscope and bandages, and a book. the litti city teacher purse playset (amazon asin b08mb3cjd6) consists of a green purse and accessories, including glasses, markers, rules, eraser, hall passes, learning charts and stickers. the litti pritti handbag playset (amazon asin b06xqxmqfd) includes a pink purse, wallet, make-up, keys and cell phone. the 12 clear plastic slime eggs are filled with slime in varying colors and come in a blue plastic egg container with www.prextex.com embossed on the top. the set includes seven mini bottles of shaped beads and 12 straws."
5.0,bought this for my friends daughter and she loves it! she wants to bring it everywhere,b07wmx25sv,2020-01-17,"Litti City Doctor Costume for Kids, Play Doctor Set for Kids, Doctor/Vet, Playset Includes: Lab Coat (3T), Functional Stethoscope & Pretend Medical Supplies, Toy Doctor Kit for Toddlers 3-5 Years Old",65103,False,0.8327,0.8327,[],[],True,"this recall involves two litti city dress-up playsets, one litte pritti dress-up playset and prextex-branded diy take-along slime eggs. the litti city premier doctor playset (amazon asin b07wmx25sv) consists of a white doctor outfit and accessories, including blue glasses, yellow stethoscope and bandages, and a book. the litti city teacher purse playset (amazon asin b08mb3cjd6) consists of a green purse and accessories, including glasses, markers, rules, eraser, hall passes, learning charts and stickers. the litti pritti handbag playset (amazon asin b06xqxmqfd) includes a pink purse, wallet, make-up, keys and cell phone. the 12 clear plastic slime eggs are filled with slime in varying colors and come in a blue plastic egg container with www.prextex.com embossed on the top. the set includes seven mini bottles of shaped beads and 12 straws."
5.0,"it’s cheap, it’s cute, and it made me 4 year old want to be a doctor. really can’t complain about that!",b07wmx25sv,2022-06-03,"Litti City Doctor Costume for Kids, Play Doctor Set for Kids, Doctor/Vet, Playset Includes: Lab Coat (3T), Functional Stethoscope & Pretend Medical Supplies, Toy Doctor Kit for Toddlers 3-5 Years Old",65103,False,0.2056,0.2056,[],[],True,"this recall involves two litti city dress-up playsets, one litte pritti dress-up playset and prextex-branded diy take-along slime eggs. the litti city premier doctor playset (amazon asin b07wmx25sv) consists of a white doctor outfit and accessories, including blue glasses, yellow stethoscope and bandages, and a book. the litti city teacher purse playset (amazon asin b08mb3cjd6) consists of a green purse and accessories, including glasses, markers, rules, eraser, hall passes, learning charts and stickers. the litti pritti handbag playset (amazon asin b06xqxmqfd) includes a pink purse, wallet, make-up, keys and cell phone. the 12 clear plastic slime eggs are filled with slime in varying colors and come in a blue plastic egg container with www.prextex.com embossed on the top. the set includes seven mini bottles of shaped beads and 12 straws."
5.0,i purchased this for a 5 year old for christmas last year.  she absolutely loves it!!,b06xqxmqfd,2020-02-28,"Litti Pritti Play Purse for Little Girls, Toddler Purse Set w/ Accessories, Fashion Girl Toys, Toy Purses, Includes: Handbag, Toy Phone, Pretend Play Makeup, Wallet, & More, Girls Ages 3+ Years Old",65101,False,0.6785,0.6785,[],[],True,"this recall involves two litti city dress-up playsets, one litte pritti dress-up playset and prextex-branded diy take-along slime eggs. the litti city premier doctor playset (amazon asin b07wmx25sv) consists of a white doctor outfit and accessories, including blue glasses, yellow stethoscope and bandages, and a book. the litti city teacher purse playset (amazon asin b08mb3cjd6) consists of a green purse and accessories, including glasses, markers, rules, eraser, hall passes, learning charts and stickers. the litti pritti handbag playset (amazon asin b06xqxmqfd) includes a pink purse, wallet, make-up, keys and cell phone. the 12 clear plastic slime eggs are filled with slime in varying colors and come in a blue plastic egg container with www.prextex.com embossed on the top. the set includes seven mini bottles of shaped beads and 12 straws."
5.0,grand daughter loved it.  it looks just like the picture.  came with all items.,b07wmx25sv,2023-03-11,"Litti City Doctor Costume for Kids, Play Doctor Set for Kids, Doctor/Vet, Playset Includes: Lab Coat (3T), Functional Stethoscope & Pretend Medical Supplies, Toy Doctor Kit for Toddlers 3-5 Years Old",65103,False,0.8555,0.8555,[],[],True,"this recall involves two litti city dress-up playsets, one litte pritti dress-up playset and prextex-branded diy take-along slime eggs. the litti city premier doctor playset (amazon asin b07wmx25sv) consists of a white doctor outfit and accessories, including blue glasses, yellow stethoscope and bandages, and a book. the litti city teacher purse playset (amazon asin b08mb3cjd6) consists of a green purse and accessories, including glasses, markers, rules, eraser, hall passes, learning charts and stickers. the litti pritti handbag playset (amazon asin b06xqxmqfd) includes a pink purse, wallet, make-up, keys and cell phone. the 12 clear plastic slime eggs are filled with slime in varying colors and come in a blue plastic egg container with www.prextex.com embossed on the top. the set includes seven mini bottles of shaped beads and 12 straws."
