parent_asin,avg_rating,review_count,avg_sentiment_score,title,item_model_number,recall_summary,incident_safety_terms,text_safety_terms,involved_in_incident,involved_in_recall,safety_term_count,safety_term_density,incident_review_match_rate,potentially_unsafe
b00kmul5ha,2.875,16,-0.05996250000000001,LG G3 D855 32GB Unlocked GSM 4G LTE Quad-HD Android Cell Phone - Gold,g3,,"['hot', 'damage', 'flaw', 'harm', 'defect', 'hot', 'damage', 'flaw', 'harm', 'defect', 'hot', 'damage', 'flaw', 'harm', 'defect', 'hot', 'damage', 'flaw', 'harm', 'defect', 'hot', 'damage', 'flaw', 'harm', 'defect', 'hot', 'damage', 'flaw', 'harm', 'defect', 'hot', 'damage', 'flaw', 'harm', 'defect', 'hot', 'damage', 'flaw', 'harm', 'defect']","['loose', 'defective', 'loose', 'defective', 'hot', 'unsecured', 'pinched', 'crack', 'crash', 'hot', 'unsecured', 'pinched', 'crack', 'crash', 'irritation', 'irritation']",True,False,16,1.0,0.2,True
b00nk332ea,2.6,10,0.12724,Apple iPhone 6 128GB Unlocked GSM Cell Phone - Silver,6,,[],"['cut', 'cut']",True,False,2,0.2,0.0,True
b00u6szz7e,1.6666666666666667,6,-0.4361,Apple iPhone 5 16GB 4G LTE Black - Sprint,5,,"['safety', 'hot', 'severe', 'unsafe', 'safety', 'hot', 'severe', 'unsafe', 'safety', 'hot', 'severe', 'unsafe']",[],True,False,0,0.0,0.0,True
b00xjrsr42,2.6842105263157894,19,0.060947368421052625,Samsung Galaxy S5 G900V 16GB Verizon Wireless CDMA No-Contract 4G LTE Smartphone w/ 16MP Camera - Copper Gold,smg900v,,"['burn', 'burning', 'smoke', 'burn', 'burning', 'smoke', 'burn', 'burning', 'smoke', 'burn', 'burning', 'smoke', 'burn', 'burning', 'smoke', 'burn', 'burning', 'smoke', 'burn', 'burning', 'smoke', 'burn', 'burning', 'smoke', 'burn', 'burning', 'smoke', 'burn', 'burning', 'smoke', 'burn', 'burning', 'smoke', 'burn', 'burning', 'smoke', 'burn', 'burning', 'smoke', 'burn', 'burning', 'smoke', 'burn', 'burning', 'smoke', 'burn', 'burning', 'smoke', 'burn', 'burning', 'smoke', 'burn', 'burning', 'smoke', 'burn', 'burning', 'smoke']","['stuck', 'unsecured', 'crack', 'crack', 'unsecured', 'unsecured']",True,False,6,0.3157894736842105,0.0,True
b00y29k3ck,3.0,4,-0.007350000000000023,"Samsung Galaxy S5 White Verizon, 4g LTE Runs on Straight Talk's $45 Unlimited Plan",smg900v,,"['burn', 'burning', 'smoke', 'burn', 'burning', 'smoke', 'burn', 'burning', 'smoke', 'burn', 'burning', 'smoke']",['death'],True,False,1,0.25,0.0,True
b016sh1duy,2.5,4,-0.35185,"Apple iPhone 6S 16 GB Sprint, Rose Gold",6s,,"['hazard', 'burn', 'burning', 'risk', 'hazard', 'burn', 'burning', 'risk']","['severe', 'severe']",True,False,2,0.5,0.0,True
b01kgmbyme,2.5384615384615383,26,0.06816923076923077,Samsung Galaxy S6 G920a 32GB Unlocked GSM 4G LTE Octa-Core Smartphone w/ 16MP Camera - White Pearl,smg920a,,"['fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire']","['loose', 'crash', 'defective', 'unsecured', 'defective', 'unsecured']",True,False,6,0.23076923076923078,0.0,True
b01n6gy93e,2.0,2,-0.18215,"HTC Bolt Case, JATEN [Belt Clip] Rugged Hybrid Dual Layer Kickstand Holster Combo + Tempered Glass Screen Protector (Black/Blue)",htcbolt,,"['fire', 'fire']",[],True,False,0,0.0,0.0,True
b0724zgb5k,2.2941176470588234,17,0.061017647058823524,"Samsung Galaxy S8 (64GB) G950U 5.8"" 4G LTE Unlocked (GSM + CDMA, US WARRANTY) (Midnight Black)",smg950u,,"['loose', 'hot', 'flaw', 'detached', 'defect', 'loose', 'hot', 'flaw', 'detached', 'defect', 'loose', 'hot', 'flaw', 'detached', 'defect', 'loose', 'hot', 'flaw', 'detached', 'defect', 'loose', 'hot', 'flaw', 'detached', 'defect', 'loose', 'hot', 'flaw', 'detached', 'defect', 'loose', 'hot', 'flaw', 'detached', 'defect', 'loose', 'hot', 'flaw', 'detached', 'defect', 'loose', 'hot', 'flaw', 'detached', 'defect', 'loose', 'hot', 'flaw', 'detached', 'defect', 'loose', 'hot', 'flaw', 'detached', 'defect', 'loose', 'hot', 'flaw', 'detached', 'defect', 'loose', 'hot', 'flaw', 'detached', 'defect', 'loose', 'hot', 'flaw', 'detached', 'defect', 'loose', 'hot', 'flaw', 'detached', 'defect', 'loose', 'hot', 'flaw', 'detached', 'defect', 'loose', 'hot', 'flaw', 'detached', 'defect']","['severe', 'damage', 'faulty', 'fracture', 'cracked', 'flaw', 'fragile', 'crack', 'defect', 'flimsy', 'unsecured', 'unsecured']",True,False,12,0.7058823529411765,0.4,True
b077ts2fj2,2.8,15,0.11262,"HTC Bolt 32GB Sprint No-Contract 4G LTE 5.5"" Octa-Core Durable Android Smartphone w/ 16MP Camera - Silver",htcbolt,,"['fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire']","['hot', 'missing', 'flaw', 'defect', 'unbalanced', 'crack', 'loose']",True,False,7,0.4666666666666667,0.0,True
