rating,review_title,text,parent_asin,review_timestamp,cleaned_text,truncated_text,title,main_category,item_model_number,manufacturer,brand,UPC,language,asin_match,model_number_match,upc_match,involved_in_incident,incident_report_date,incident_description,incident_purchase_date,extracted_model_numbers_brand_model,Report Date_upc,Incident Description_upc,Purchase Date_upc,extracted_asins,Report Date,Incident Description,Purchase Date,Manufacturer / Importer / Private Labeler Name,Brand,extracted_model_numbers,Report Date_brand,Incident Description_brand,Purchase Date_brand,Brand_brand,Report Date_manufacturer,Incident Description_manufacturer,Purchase Date_manufacturer,Manufacturer / Importer / Private Labeler Name_manufacturer,extracted_model_numbers_model,Report Date_model,Incident Description_model,Purchase Date_model
5.0,These are the best toothbrushes to have for my children,These are the best toothbrushes to have for my children. They do cost a little but the extra cleaning that gets done on my children's teeth are worth it. The kids like them too.,b007mrorwq,2014-08-15,best toothbrush child cost little extra cleaning get done childrens teeth worth kid like,best toothbrush child cost little extra cleaning get done childrens teeth worth kid like,Surround® Toothbrush (Pack of 4),All Beauty,stb4,specialized care co inc,specialized care co inc,859938000121,en,False,False,True,True,9/24/2021 0:00,"my kwikset 99380-001 halo wi-fi smart lock keyless entry electronic keypad deadbolt melted and burned the tips of two of my fingers on sept 23, 2021.
on the late evening of sept 22, 2021 i was in the laundry room that has a door to the garage and i thought i smelled a faint smell of something odd, like a sort of burnt toast.   i checked all around and could not find the smell and it went away.   the following day the kwikset door lock in this room alerted us that its battery was dead and needed replacing.   later on sept 23, 2021 i removed the battery pack from the lock housing and replaced all three 1.5 volt aa batteries, then reinstalled the battery pack .  i then went to verify the locks operation and the lock would illuminate but would not lock or unlock.  then i started to smell a strong smell of something burning and i could see smoke emanating from the just installed battery pack.   i tried to remove the battery pack from the lock housing by lifting up on the plastic removal tab, as i had done previously, it is at this point i burnt my finger tips on the molten plastic.   i then went to the garage and got a dental pick to pull the battery pack out.  once the battery pack was removed the battery pack stopped melting and smoking.   
my fingers were sore but ok, no lasting damage.   
i then notified kwikset about what just happened and uploaded pictures to them using their online tool.  
i asked kwikset if there were any recalls on this product and they said no and there were no know issues. they issued me a case number and said they wanted the complete assembly returned to them for analysis using the prepaid label they provided.
they told me they were sending me a identical replacement as soon as they reviewed the pictures.
i am concerned for several reasons:
- my fingers got burned.
- i do not know what would have happened if i was not home and this happened as the door to the garage is a light wood door.  i do not know if the plastic in the battery pack and cover would ignite or just melt.
- i do not know if the plastic just melted could it have melted and jammed the locking mechanism making it impossible to exit or enter via this door.
- at the time i purchased the kwikset lock that failed i purchased an identical lock, only difference is the color, and installed it in another door.",44354.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,this is one of the best toothbrushes for the little ones and adults alike,this is one of the best toothbrushes for the little ones and adults alike. gets as far back as possible to help prevent tartar.,b007mrorwq,2014-08-08,one best toothbrush little adult alike get far back possible help prevent tartar,one best toothbrush little adult alike get far back possible help prevent tartar,Surround® Toothbrush (Pack of 4),All Beauty,stb4,specialized care co inc,specialized care co inc,859938000121,en,False,False,True,True,9/24/2021 0:00,"my kwikset 99380-001 halo wi-fi smart lock keyless entry electronic keypad deadbolt melted and burned the tips of two of my fingers on sept 23, 2021.
on the late evening of sept 22, 2021 i was in the laundry room that has a door to the garage and i thought i smelled a faint smell of something odd, like a sort of burnt toast.   i checked all around and could not find the smell and it went away.   the following day the kwikset door lock in this room alerted us that its battery was dead and needed replacing.   later on sept 23, 2021 i removed the battery pack from the lock housing and replaced all three 1.5 volt aa batteries, then reinstalled the battery pack .  i then went to verify the locks operation and the lock would illuminate but would not lock or unlock.  then i started to smell a strong smell of something burning and i could see smoke emanating from the just installed battery pack.   i tried to remove the battery pack from the lock housing by lifting up on the plastic removal tab, as i had done previously, it is at this point i burnt my finger tips on the molten plastic.   i then went to the garage and got a dental pick to pull the battery pack out.  once the battery pack was removed the battery pack stopped melting and smoking.   
my fingers were sore but ok, no lasting damage.   
i then notified kwikset about what just happened and uploaded pictures to them using their online tool.  
i asked kwikset if there were any recalls on this product and they said no and there were no know issues. they issued me a case number and said they wanted the complete assembly returned to them for analysis using the prepaid label they provided.
they told me they were sending me a identical replacement as soon as they reviewed the pictures.
i am concerned for several reasons:
- my fingers got burned.
- i do not know what would have happened if i was not home and this happened as the door to the garage is a light wood door.  i do not know if the plastic in the battery pack and cover would ignite or just melt.
- i do not know if the plastic just melted could it have melted and jammed the locking mechanism making it impossible to exit or enter via this door.
- at the time i purchased the kwikset lock that failed i purchased an identical lock, only difference is the color, and installed it in another door.",44354.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,... with braces or totlelars with no molars I would like to get a return label and have some one ...,I ask for special care toot brush for my husband with Parkinson and I got toot rush for people with braces or toddlers  with no molars I would like to get a return label and have some one pick them up thank you Fulvia,b007mrorwq,2015-06-27,ask special care toot brush husband parkinson got rush people brace toddler molar would like get return label one pick thank fulvia,ask special care toot brush husband parkinson got rush people brace toddler molar would like get return label one pick thank fulvia,Surround® Toothbrush (Pack of 4),All Beauty,stb4,specialized care co inc,specialized care co inc,859938000121,en,False,False,True,True,9/24/2021 0:00,"my kwikset 99380-001 halo wi-fi smart lock keyless entry electronic keypad deadbolt melted and burned the tips of two of my fingers on sept 23, 2021.
on the late evening of sept 22, 2021 i was in the laundry room that has a door to the garage and i thought i smelled a faint smell of something odd, like a sort of burnt toast.   i checked all around and could not find the smell and it went away.   the following day the kwikset door lock in this room alerted us that its battery was dead and needed replacing.   later on sept 23, 2021 i removed the battery pack from the lock housing and replaced all three 1.5 volt aa batteries, then reinstalled the battery pack .  i then went to verify the locks operation and the lock would illuminate but would not lock or unlock.  then i started to smell a strong smell of something burning and i could see smoke emanating from the just installed battery pack.   i tried to remove the battery pack from the lock housing by lifting up on the plastic removal tab, as i had done previously, it is at this point i burnt my finger tips on the molten plastic.   i then went to the garage and got a dental pick to pull the battery pack out.  once the battery pack was removed the battery pack stopped melting and smoking.   
my fingers were sore but ok, no lasting damage.   
i then notified kwikset about what just happened and uploaded pictures to them using their online tool.  
i asked kwikset if there were any recalls on this product and they said no and there were no know issues. they issued me a case number and said they wanted the complete assembly returned to them for analysis using the prepaid label they provided.
they told me they were sending me a identical replacement as soon as they reviewed the pictures.
i am concerned for several reasons:
- my fingers got burned.
- i do not know what would have happened if i was not home and this happened as the door to the garage is a light wood door.  i do not know if the plastic in the battery pack and cover would ignite or just melt.
- i do not know if the plastic just melted could it have melted and jammed the locking mechanism making it impossible to exit or enter via this door.
- at the time i purchased the kwikset lock that failed i purchased an identical lock, only difference is the color, and installed it in another door.",44354.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,False advertising,"False advertising. Doesn't exist. I was really excited to see a version of Dove Men's deodorant without aluminum, but there's a reason I hadn't seen it in the store; it doesn't exist.",b01mruque2,2021-04-06,false advertising doesnt exist really excited see version dove men deodorant without aluminum there reason hadnt seen store,false advertising doesnt exist really excited see version dove men deodorant without aluminum there reason hadnt seen store,Dove Men+Care Antiperspirant for Men Minerals and Sage with 48-Hour Sweat and Body Odor Protection 2.7 oz (Packaging may vary),All Beauty,b01mruque2,unilever,dove men + care,079400597328,en,False,False,True,True,11/22/2020 0:00,stick deordeant manufacturing defect. sharp edges with plastic pieces protruding cut my arm pit durning application,44112.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,Worst Flosser I’ve Ever Used,I’d give negative stars if it was an option; absolutely terrible product.<br /><br />Soft floss breaks immediately.<br />The angle of the pick is unhelpful.<br />The name brand Listerine version is 2x the price but 10x the value.  Spend the extra $5/$10 bucks and save yourself the grief.<br /><br />TLDR<br />Terrible product; don’t buy.,b07f8svr4j,2021-04-09,id give negative star option absolutely terrible productsoft floss break immediatelythe angle pick unhelpfulthe name brand listerine version x price value spend extra buck save grieftldrterrible product dont buy,id give negative star option absolutely terrible productsoft floss break immediatelythe angle pick unhelpfulthe name brand listerine version x price value spend extra buck save grieftldrterrible product dont buy,"T.Smile 3rd Generation Dental Flosser 1 Handle + 50 Soft Silky Ribbon Floss Heads + 50 Extra Strength Floss Heads, Evolutionary Clean, Pack of 1",All Beauty,none,"liangbu science and technology co.,ltd.",t.smile,713440925009713440925078,en,False,False,True,True,3/18/2015 0:00,mold build up in washer tub area and front door rubber seal. ongoing since purchasing item.,39605.0,,,,,,,,,,,,,,,,,,,,,,,
1.0,CONTAINS ALUMINUM THEIR PHOTO IS DECEIVING!!!,"NOT ALUMINUM FREE AS SHOWN IN THEIR PICTURE!!!!!<br />We chose not to use aluminum in our under arm care because of medical studies show major health risks. I bought this because the picture had a label that said aluminum free. I checked on their listed ingredients phot and it did not show any aluminum. Very, very disappointed in this seller trying to get rid of old stock with showing a new & improved version photo. The seller is trying to rid stock thinking “hey half the people won’t even  try to return it”😡 DON’T BUY!",b01mruque2,2021-03-27,aluminum free shown picturewe chose use arm care medical study show major health risk bought picture label said checked listed ingredient phot disappointed seller trying get rid old stock showing new improved version photo thinking hey half people wont even try return dont buy,aluminum free shown picturewe chose use arm care medical study show major health risk bought picture label said checked listed ingredient phot disappointed seller trying get rid old stock showing new improved version photo thinking hey half people wont even try return dont buy,Dove Men+Care Antiperspirant for Men Minerals and Sage with 48-Hour Sweat and Body Odor Protection 2.7 oz (Packaging may vary),All Beauty,b01mruque2,unilever,dove men + care,079400597328,en,False,False,True,True,11/22/2020 0:00,stick deordeant manufacturing defect. sharp edges with plastic pieces protruding cut my arm pit durning application,44112.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,Works well,"I guess I'm supposed to leave a review,, so here it is: Good product. No strong smell.",b01mruque2,2021-04-28,guess im supposed leave review good product strong smell,guess im supposed leave review good product strong smell,Dove Men+Care Antiperspirant for Men Minerals and Sage with 48-Hour Sweat and Body Odor Protection 2.7 oz (Packaging may vary),All Beauty,b01mruque2,unilever,dove men + care,079400597328,en,False,False,True,True,11/22/2020 0:00,stick deordeant manufacturing defect. sharp edges with plastic pieces protruding cut my arm pit durning application,44112.0,,,,,,,,,,,,,,,,,,,,,,,
2.0,Disappointed,Great idea but impossible for little kids there mouth is just two small to manuvere this big brush around .,b007mrorwq,2014-02-28,great idea impossible little kid mouth two small manuvere big brush around,great idea impossible little kid mouth two small manuvere big brush around,Surround® Toothbrush (Pack of 4),All Beauty,stb4,specialized care co inc,specialized care co inc,859938000121,en,False,False,True,True,9/24/2021 0:00,"my kwikset 99380-001 halo wi-fi smart lock keyless entry electronic keypad deadbolt melted and burned the tips of two of my fingers on sept 23, 2021.
on the late evening of sept 22, 2021 i was in the laundry room that has a door to the garage and i thought i smelled a faint smell of something odd, like a sort of burnt toast.   i checked all around and could not find the smell and it went away.   the following day the kwikset door lock in this room alerted us that its battery was dead and needed replacing.   later on sept 23, 2021 i removed the battery pack from the lock housing and replaced all three 1.5 volt aa batteries, then reinstalled the battery pack .  i then went to verify the locks operation and the lock would illuminate but would not lock or unlock.  then i started to smell a strong smell of something burning and i could see smoke emanating from the just installed battery pack.   i tried to remove the battery pack from the lock housing by lifting up on the plastic removal tab, as i had done previously, it is at this point i burnt my finger tips on the molten plastic.   i then went to the garage and got a dental pick to pull the battery pack out.  once the battery pack was removed the battery pack stopped melting and smoking.   
my fingers were sore but ok, no lasting damage.   
i then notified kwikset about what just happened and uploaded pictures to them using their online tool.  
i asked kwikset if there were any recalls on this product and they said no and there were no know issues. they issued me a case number and said they wanted the complete assembly returned to them for analysis using the prepaid label they provided.
they told me they were sending me a identical replacement as soon as they reviewed the pictures.
i am concerned for several reasons:
- my fingers got burned.
- i do not know what would have happened if i was not home and this happened as the door to the garage is a light wood door.  i do not know if the plastic in the battery pack and cover would ignite or just melt.
- i do not know if the plastic just melted could it have melted and jammed the locking mechanism making it impossible to exit or enter via this door.
- at the time i purchased the kwikset lock that failed i purchased an identical lock, only difference is the color, and installed it in another door.",44354.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,I wish I had found these years ago!,"If you struggle with performing oral hygiene on another person, you will love these toothbrushes.  The multi-sided bristles mean you can clean more effectively in much less time.  This is very helpful for situations where the recipient is uncooperative.  I recommend these!",b007mrorwq,2013-08-09,struggle performing oral hygiene another person love toothbrush multisided bristle mean clean effectively much less time helpful situation recipient uncooperative recommend,struggle performing oral hygiene another person love toothbrush multisided bristle mean clean effectively much less time helpful situation recipient uncooperative recommend,Surround® Toothbrush (Pack of 4),All Beauty,stb4,specialized care co inc,specialized care co inc,859938000121,en,False,False,True,True,9/24/2021 0:00,"my kwikset 99380-001 halo wi-fi smart lock keyless entry electronic keypad deadbolt melted and burned the tips of two of my fingers on sept 23, 2021.
on the late evening of sept 22, 2021 i was in the laundry room that has a door to the garage and i thought i smelled a faint smell of something odd, like a sort of burnt toast.   i checked all around and could not find the smell and it went away.   the following day the kwikset door lock in this room alerted us that its battery was dead and needed replacing.   later on sept 23, 2021 i removed the battery pack from the lock housing and replaced all three 1.5 volt aa batteries, then reinstalled the battery pack .  i then went to verify the locks operation and the lock would illuminate but would not lock or unlock.  then i started to smell a strong smell of something burning and i could see smoke emanating from the just installed battery pack.   i tried to remove the battery pack from the lock housing by lifting up on the plastic removal tab, as i had done previously, it is at this point i burnt my finger tips on the molten plastic.   i then went to the garage and got a dental pick to pull the battery pack out.  once the battery pack was removed the battery pack stopped melting and smoking.   
my fingers were sore but ok, no lasting damage.   
i then notified kwikset about what just happened and uploaded pictures to them using their online tool.  
i asked kwikset if there were any recalls on this product and they said no and there were no know issues. they issued me a case number and said they wanted the complete assembly returned to them for analysis using the prepaid label they provided.
they told me they were sending me a identical replacement as soon as they reviewed the pictures.
i am concerned for several reasons:
- my fingers got burned.
- i do not know what would have happened if i was not home and this happened as the door to the garage is a light wood door.  i do not know if the plastic in the battery pack and cover would ignite or just melt.
- i do not know if the plastic just melted could it have melted and jammed the locking mechanism making it impossible to exit or enter via this door.
- at the time i purchased the kwikset lock that failed i purchased an identical lock, only difference is the color, and installed it in another door.",44354.0,,,,,,,,,,,,,,,,,,,,,,,
5.0,Great quality but pricey,"This is a great toothbrush and the only toothbrush I can get my adult son to use.  His dentist introduced it to me.  He bites down on it and it holds up great! However, it is very pricey for a toothbrush.",b007mrorwq,2022-01-01,great toothbrush get adult son use dentist introduced bite hold however pricey,great toothbrush get adult son use dentist introduced bite hold however pricey,Surround® Toothbrush (Pack of 4),All Beauty,stb4,specialized care co inc,specialized care co inc,859938000121,en,False,False,True,True,9/24/2021 0:00,"my kwikset 99380-001 halo wi-fi smart lock keyless entry electronic keypad deadbolt melted and burned the tips of two of my fingers on sept 23, 2021.
on the late evening of sept 22, 2021 i was in the laundry room that has a door to the garage and i thought i smelled a faint smell of something odd, like a sort of burnt toast.   i checked all around and could not find the smell and it went away.   the following day the kwikset door lock in this room alerted us that its battery was dead and needed replacing.   later on sept 23, 2021 i removed the battery pack from the lock housing and replaced all three 1.5 volt aa batteries, then reinstalled the battery pack .  i then went to verify the locks operation and the lock would illuminate but would not lock or unlock.  then i started to smell a strong smell of something burning and i could see smoke emanating from the just installed battery pack.   i tried to remove the battery pack from the lock housing by lifting up on the plastic removal tab, as i had done previously, it is at this point i burnt my finger tips on the molten plastic.   i then went to the garage and got a dental pick to pull the battery pack out.  once the battery pack was removed the battery pack stopped melting and smoking.   
my fingers were sore but ok, no lasting damage.   
i then notified kwikset about what just happened and uploaded pictures to them using their online tool.  
i asked kwikset if there were any recalls on this product and they said no and there were no know issues. they issued me a case number and said they wanted the complete assembly returned to them for analysis using the prepaid label they provided.
they told me they were sending me a identical replacement as soon as they reviewed the pictures.
i am concerned for several reasons:
- my fingers got burned.
- i do not know what would have happened if i was not home and this happened as the door to the garage is a light wood door.  i do not know if the plastic in the battery pack and cover would ignite or just melt.
- i do not know if the plastic just melted could it have melted and jammed the locking mechanism making it impossible to exit or enter via this door.
- at the time i purchased the kwikset lock that failed i purchased an identical lock, only difference is the color, and installed it in another door.",44354.0,,,,,,,,,,,,,,,,,,,,,,,
