rating,review_title,text,parent_asin,review_timestamp,cleaned_text,truncated_text,title,main_category,item_model_number,manufacturer,brand,UPC,language,asin_match,model_number_match,upc_match,involved_in_incident,incident_report_date,incident_description,incident_purchase_date,extracted_model_numbers_brand_model,Report Date_upc,Incident Description_upc,Purchase Date_upc,extracted_asins,Report Date,Incident Description,Purchase Date,Manufacturer / Importer / Private Labeler Name,Brand,extracted_model_numbers,Report Date_brand,Incident Description_brand,Purchase Date_brand,Brand_brand,Report Date_manufacturer,Incident Description_manufacturer,Purchase Date_manufacturer,Manufacturer / Importer / Private Labeler Name_manufacturer,extracted_model_numbers_model,Report Date_model,Incident Description_model,Purchase Date_model
3.0,Not for commercial use,"Pictures show what your getting. However, as a business owner of commercial cleaning, this product does not provide commercial quality.<br />It’s great when needing to do staircase of a 5 story building by simply adding an extension cord. Easily change attachments to clean lobby over head lights. The suction power, is lacking. Owning a cleaning business, where time is money. I find using this on even a commercial carpet, you’re spending to much time trying to suck up dirt, 3x’s as much time. And my time is money! Living in upstate NY winter comes with salt! This is not strong enough to suck up salt. Very time consuming. Small enough to throw behind my driver seat to travel to other offices and building. It is nice to have the blower attachment for when you need it. Just wish it had the real suction needed. I bought two for my company. Employees complained. Wouldn’t recommend for anything more than at home, bare wood floors.",b0922jzdm1,2022-03-27,picture show getting however business owner commercial cleaning product provide qualityits great needing staircase story building simply adding extension cord easily change attachment clean lobby head light suction power lacking owning time money find using even carpet youre spending much trying suck dirt x living upstate ny winter come salt strong enough consuming small throw behind driver seat travel office nice blower need wish real needed bought two company employee complained wouldnt recommend anything home bare wood floor,picture show getting however business owner commercial cleaning product provide qualityits great needing staircase story building simply adding extension cord easily change attachment clean lobby head light suction power lacking owning time money find using even carpet youre spending much trying suck dirt x living upstate ny winter come salt strong enough consuming small throw behind driver seat travel office nice blower need wish real needed bought two company employee complained wouldnt recommend anything home bare wood floor,"Hoover Commercial PORTAPOWER Lightweight Canister Vacuum Cleaner with Attachments, Portable Carriable Handheld Small Professional Grade Bagged, 8 Pounds, CH30000, Black",Industrial & Scientific,ch30000,hoover,hoover commercial,,en,False,True,False,True,1/17/2019 0:00,i made a report on 12/6/18 [redacted]. that report is the 1st vacuum we had catch a customers wall outlet on fire. i now have 2 more vacuums over the last couple of weeks that have caused scorched outlets. both of these current incidents have occurred while the cleaner is attempting to unplug the equipment. when they pull the plug from the wall there is a small plasma reaction due to the poor craftsmanship of the cord as a whole. i have had to go to our customers houses to replace the outlet and face plate every time this has happened. we have been lucky thus far that none of our employees have been injured. the problem is inside of the plug the connection between the prongs of the plug and the wires of the cord is breaking and due to the construction of the plug the prong stays in with no visible signs of breaking. ive used our office location as the incident address do to confidentiality between our company and our customers ,43374.0,,,,,,,,,,,,,,,,,,,,ch30000,1/17/2019 0:00,i made a report on 12/6/18 [redacted]. that report is the 1st vacuum we had catch a customers wall outlet on fire. i now have 2 more vacuums over the last couple of weeks that have caused scorched outlets. both of these current incidents have occurred while the cleaner is attempting to unplug the equipment. when they pull the plug from the wall there is a small plasma reaction due to the poor craftsmanship of the cord as a whole. i have had to go to our customers houses to replace the outlet and face plate every time this has happened. we have been lucky thus far that none of our employees have been injured. the problem is inside of the plug the connection between the prongs of the plug and the wires of the cord is breaking and due to the construction of the plug the prong stays in with no visible signs of breaking. ive used our office location as the incident address do to confidentiality between our company and our customers ,43374.0
3.0,Not for commercial use,"Pictures show what your getting. However, as a business owner of commercial cleaning, this product does not provide commercial quality.<br />It’s great when needing to do staircase of a 5 story building by simply adding an extension cord. Easily change attachments to clean lobby over head lights. The suction power, is lacking. Owning a cleaning business, where time is money. I find using this on even a commercial carpet, you’re spending to much time trying to suck up dirt, 3x’s as much time. And my time is money! Living in upstate NY winter comes with salt! This is not strong enough to suck up salt. Very time consuming. Small enough to throw behind my driver seat to travel to other offices and building. It is nice to have the blower attachment for when you need it. Just wish it had the real suction needed. I bought two for my company. Employees complained. Wouldn’t recommend for anything more than at home, bare wood floors.",b0922jzdm1,2022-03-27,picture show getting however business owner commercial cleaning product provide qualityits great needing staircase story building simply adding extension cord easily change attachment clean lobby head light suction power lacking owning time money find using even carpet youre spending much trying suck dirt x living upstate ny winter come salt strong enough consuming small throw behind driver seat travel office nice blower need wish real needed bought two company employee complained wouldnt recommend anything home bare wood floor,picture show getting however business owner commercial cleaning product provide qualityits great needing staircase story building simply adding extension cord easily change attachment clean lobby head light suction power lacking owning time money find using even carpet youre spending much trying suck dirt x living upstate ny winter come salt strong enough consuming small throw behind driver seat travel office nice blower need wish real needed bought two company employee complained wouldnt recommend anything home bare wood floor,"Hoover Commercial PORTAPOWER Lightweight Canister Vacuum Cleaner with Attachments, Portable Carriable Handheld Small Professional Grade Bagged, 8 Pounds, CH30000, Black",Industrial & Scientific,ch30000,hoover,hoover commercial,,en,False,True,False,True,12/6/2018 0:00,"one incident occurred again today.  when one of our cleaners plugged in the vacuum and turned it on she was unaware that one of the prongs on the plug had broken inside the solid plastic plug. and a ball of flames came out of the houses outlet. this is the 3rd one of this product that has had the plug break in this unusual way.

another issue with the same product is that where the cord enters the body of the vacuum, it has been breaking and exposing the wires. this has occurred on about 50% of these vacuums that we have purchased within the last year.",43404.0,,,,,,,,,,,,,,,,,,,,ch30000,12/6/2018 0:00,"one incident occurred again today.  when one of our cleaners plugged in the vacuum and turned it on she was unaware that one of the prongs on the plug had broken inside the solid plastic plug. and a ball of flames came out of the houses outlet. this is the 3rd one of this product that has had the plug break in this unusual way.

another issue with the same product is that where the cord enters the body of the vacuum, it has been breaking and exposing the wires. this has occurred on about 50% of these vacuums that we have purchased within the last year.",43404.0
5.0,Excellent for restaurants!,"These toys have been excellent for keeping both of our children, 9 months and 3.5 years, happy while out in restaurants and traveling.",b00h4iq3p2,2018-11-01,toy excellent keeping child month year happy restaurant traveling,toy excellent keeping child month year happy restaurant traveling,Fat Brain Toys pipSquigz,Industrial & Scientific,fa0891,fat brain toys,none,,en,True,False,False,True,8/20/2023 0:00,my 7 month old infant was playing with the fat brain pipsquigz rattles when i noticed him rubbing at his eyes. one of the rattles had started peeling and was flaking off and got bits of silicone in his eye and mouth. this was within 10 minutes of using the product (we had just taken it out of the packaging).,45144.0,,,,,b00h4iq3p2,8/20/2023 0:00,my 7 month old infant was playing with the fat brain pipsquigz rattles when i noticed him rubbing at his eyes. one of the rattles had started peeling and was flaking off and got bits of silicone in his eye and mouth. this was within 10 minutes of using the product (we had just taken it out of the packaging).,45144.0,"fat brain toy co., llc",fat brain toy co.,,,,,,,,,,,,,
5.0,Love this little vacuum!,"Extremely lightweight, quality attachments, easy to empty bag. Excellent for anyone who lacks strength to push a typical, heavy vacuum sweeper. Great for stairs and hard to reach spots. On a hot day, vacuum gets a little hot when wearing it over your shoulder, but not too bad. I loved this so much a bought a second one. My only suggestion for improvement is that they provide a padded strap for your shoulder.",b0922jzdm1,2017-08-15,extremely lightweight quality attachment easy empty bag excellent anyone lack strength push typical heavy vacuum sweeper great stair hard reach spot hot day get little wearing shoulder bad loved much bought second one suggestion improvement provide padded strap,extremely lightweight quality attachment easy empty bag excellent anyone lack strength push typical heavy vacuum sweeper great stair hard reach spot hot day get little wearing shoulder bad loved much bought second one suggestion improvement provide padded strap,"Hoover Commercial PORTAPOWER Lightweight Canister Vacuum Cleaner with Attachments, Portable Carriable Handheld Small Professional Grade Bagged, 8 Pounds, CH30000, Black",Industrial & Scientific,ch30000,hoover,hoover commercial,,en,False,True,False,True,1/17/2019 0:00,i made a report on 12/6/18 [redacted]. that report is the 1st vacuum we had catch a customers wall outlet on fire. i now have 2 more vacuums over the last couple of weeks that have caused scorched outlets. both of these current incidents have occurred while the cleaner is attempting to unplug the equipment. when they pull the plug from the wall there is a small plasma reaction due to the poor craftsmanship of the cord as a whole. i have had to go to our customers houses to replace the outlet and face plate every time this has happened. we have been lucky thus far that none of our employees have been injured. the problem is inside of the plug the connection between the prongs of the plug and the wires of the cord is breaking and due to the construction of the plug the prong stays in with no visible signs of breaking. ive used our office location as the incident address do to confidentiality between our company and our customers ,43374.0,,,,,,,,,,,,,,,,,,,,ch30000,1/17/2019 0:00,i made a report on 12/6/18 [redacted]. that report is the 1st vacuum we had catch a customers wall outlet on fire. i now have 2 more vacuums over the last couple of weeks that have caused scorched outlets. both of these current incidents have occurred while the cleaner is attempting to unplug the equipment. when they pull the plug from the wall there is a small plasma reaction due to the poor craftsmanship of the cord as a whole. i have had to go to our customers houses to replace the outlet and face plate every time this has happened. we have been lucky thus far that none of our employees have been injured. the problem is inside of the plug the connection between the prongs of the plug and the wires of the cord is breaking and due to the construction of the plug the prong stays in with no visible signs of breaking. ive used our office location as the incident address do to confidentiality between our company and our customers ,43374.0
5.0,Love this little vacuum!,"Extremely lightweight, quality attachments, easy to empty bag. Excellent for anyone who lacks strength to push a typical, heavy vacuum sweeper. Great for stairs and hard to reach spots. On a hot day, vacuum gets a little hot when wearing it over your shoulder, but not too bad. I loved this so much a bought a second one. My only suggestion for improvement is that they provide a padded strap for your shoulder.",b0922jzdm1,2017-08-15,extremely lightweight quality attachment easy empty bag excellent anyone lack strength push typical heavy vacuum sweeper great stair hard reach spot hot day get little wearing shoulder bad loved much bought second one suggestion improvement provide padded strap,extremely lightweight quality attachment easy empty bag excellent anyone lack strength push typical heavy vacuum sweeper great stair hard reach spot hot day get little wearing shoulder bad loved much bought second one suggestion improvement provide padded strap,"Hoover Commercial PORTAPOWER Lightweight Canister Vacuum Cleaner with Attachments, Portable Carriable Handheld Small Professional Grade Bagged, 8 Pounds, CH30000, Black",Industrial & Scientific,ch30000,hoover,hoover commercial,,en,False,True,False,True,12/6/2018 0:00,"one incident occurred again today.  when one of our cleaners plugged in the vacuum and turned it on she was unaware that one of the prongs on the plug had broken inside the solid plastic plug. and a ball of flames came out of the houses outlet. this is the 3rd one of this product that has had the plug break in this unusual way.

another issue with the same product is that where the cord enters the body of the vacuum, it has been breaking and exposing the wires. this has occurred on about 50% of these vacuums that we have purchased within the last year.",43404.0,,,,,,,,,,,,,,,,,,,,ch30000,12/6/2018 0:00,"one incident occurred again today.  when one of our cleaners plugged in the vacuum and turned it on she was unaware that one of the prongs on the plug had broken inside the solid plastic plug. and a ball of flames came out of the houses outlet. this is the 3rd one of this product that has had the plug break in this unusual way.

another issue with the same product is that where the cord enters the body of the vacuum, it has been breaking and exposing the wires. this has occurred on about 50% of these vacuums that we have purchased within the last year.",43404.0
5.0,Would Buy Again,"Easy to mix, doesn’t smell bad, cures well in 24 hours. Big mixing cups!",b09qh6xvz4,2022-12-27,easy mix doesnt smell bad cure well hour big mixing cup,easy mix doesnt smell bad cure well hour big mixing cup,"Beast Bond Epoxy Resin Kit, 1 Gallon High-Performance Epoxy Resin, Self-Leveling, Minimal Bubbles, Clear, Glossy, UV Resistant, Perfect for Table Tops, Crafts. DIY & Pro Number 1 Choice",Health & Personal Care,none,none,beast bond,,en,True,False,False,True,3/15/2024 0:00,"i am a competitor of this product and am concerned that the manufacturer is not properly listing cpsc/ghs hazard warning information on the labels. there is not consumer hazard information on the front labels and the ghs information on the labels does not match the ghs information provided on the sds. this product can be purchased from amazon. this product is an epoxy resin that is advertised to be used for diy art,  jewelry, table and countertops.",45335.0,,,,,b09qh6xvz4,3/15/2024 0:00,"i am a competitor of this product and am concerned that the manufacturer is not properly listing cpsc/ghs hazard warning information on the labels. there is not consumer hazard information on the front labels and the ghs information on the labels does not match the ghs information provided on the sds. this product can be purchased from amazon. this product is an epoxy resin that is advertised to be used for diy art,  jewelry, table and countertops.",45335.0,doctors best products inc,beast bond,,,,,,,,,,,,,
1.0,One Star,pos motor bearings are already worn out,b01m3rpnpc,2016-07-16,po motor bearing already worn,po motor bearing already worn,Hoover Max Extract 77 Multi Surface Pro Hardwood Floor and Carpet Cleaner Machine FH50240,Amazon Home,fh50240,hoover,none,,en,False,True,False,True,3/26/2015 0:00,"i was using a hoover extract max 77. sold at walmart. me and my 11 year old daughter were shampooing the bathroom carpet when all the sudden there was a loud pop sound. and sparks came our from under the cleaner into my carpet. the brealer tripped thankfully! however is we would have been on a smooth surface standing in wet conditiond, as im sure you realize things could have been much worse!",41864.0,,,,,,,,,,,,,,,,,,,,fh50240,3/26/2015 0:00,"i was using a hoover extract max 77. sold at walmart. me and my 11 year old daughter were shampooing the bathroom carpet when all the sudden there was a loud pop sound. and sparks came our from under the cleaner into my carpet. the brealer tripped thankfully! however is we would have been on a smooth surface standing in wet conditiond, as im sure you realize things could have been much worse!",41864.0
5.0,very useful valve. Be aware of port orientation.,"This is a very useful valve for me. I like the large bore internal passages. Be aware that the middle port is the in and the two others are outs, selected by the handle.",b00634k73m,2013-08-31,useful valve like large bore internal passage aware middle port two others out selected handle,useful valve like large bore internal passage aware middle port two others out selected handle,"Apollo 70-600 Series Bronze Ball Valve, Two Piece, 3-Port Diverting, Lever, 3/8"" NPT Female",Industrial & Scientific,7060201,conbraco industries,apollo valve,,en,False,True,False,True,3/17/2024 0:00,"gas stove exploded, then caught on fire.",40840.0,,,,,,,,,,,,,,,,,,,,7060201,3/17/2024 0:00,"gas stove exploded, then caught on fire.",40840.0
5.0,These are great toys. They really stick to the table and ...,These are great toys.  They really stick to the table and they provide hours of amusement to my son.,b00h4iq3p2,2016-04-27,great toy really stick table provide hour amusement son,great toy really stick table provide hour amusement son,Fat Brain Toys pipSquigz,Industrial & Scientific,fa0891,fat brain toys,none,,en,True,False,False,True,8/20/2023 0:00,my 7 month old infant was playing with the fat brain pipsquigz rattles when i noticed him rubbing at his eyes. one of the rattles had started peeling and was flaking off and got bits of silicone in his eye and mouth. this was within 10 minutes of using the product (we had just taken it out of the packaging).,45144.0,,,,,b00h4iq3p2,8/20/2023 0:00,my 7 month old infant was playing with the fat brain pipsquigz rattles when i noticed him rubbing at his eyes. one of the rattles had started peeling and was flaking off and got bits of silicone in his eye and mouth. this was within 10 minutes of using the product (we had just taken it out of the packaging).,45144.0,"fat brain toy co., llc",fat brain toy co.,,,,,,,,,,,,,
1.0,Constantly clearing hose,"I bought this and put it to test.  I was constantly having to clear the hose and the extended attachments out as debris would get stuck.  Needless to say, I ended up returning and now looking for something better.",b002j4uadw,2022-07-07,bought put test constantly clear hose extended attachment debris would get stuck needless say ended returning looking something better,bought put test constantly clear hose extended attachment debris would get stuck needless say ended returning looking something better,"Stanley Wet/Dry Vacuum, 5 Gallon, 4 Horsepower, Stainless Steel Tank - Silver+yellow+black - SL18130",Tools & Home Improvement,sl18130,stanley,stanley,,en,False,True,False,True,6/8/2015 0:00,"this is a stanley shop vac model: sl-18130 and could apply to many steel can vacuums

i have been an electrician for over 20 years and use all sorts of tools including vacuums to clean up all sorts of different materials in the past.  this one incident is pretty serious.  the voltage and arc generated could be, in my opinion, lethal. 

this electrical charge was repeated several times and observed open air arc was 25-45mm from another grounded appliance (furnace duct work).  the ignition coil on a car idling won't discharge an arc like this at 20mm.  the accompanying arc snap volume was quite alarming.

the material being cleaned up was 1950's vintage plaster and dust which settled over a hot air furnace.  in one respect, tesla would have been pleased.

ungrounded metal catch can will generate dangerous capacitive voltage depending on the material collected.  none of my test equipment had the range to measure voltage, current or joules. this information is based on my own experience (getting zapped) and then actually causing the situation to occur several times while observing the arc's behavior.

to sum this issue in a few words:  it doesn't matter how the electrics are protected.  double insulated motors or grounded motors.  the point is the metal can was ungrounded and the materials being cleaned up caused a rare but dangerous situation.

here's the thing.  national electrical code clearly states that all metal for any electrical device must be bonded to ground.  this is a safety issue.  had this particular model simply put on any sort of ground to the can, the charge generated would have been safely discharged through the ground.

if i am not mistaken - underwriters lab also has rules for metal encased appliances - i.e. the use of a grounded power cord.  i test grounds on all 3 prong tools on job sites (as per osha).

this vacuum has a 3 prong cord (nema 5-15p) but the ground was never extended to the metal can.  

my fix: 16ga wire to a small copper strip positioned across the gasket.  when the vacuum lid is closed, the strip comes into contact with the can.  the copper strip under the seal provides an adequate ground path to discharge any stray or capacitive charges.

such a fix should be used on any metal can shop vac, especially those used to collect water.  120v traveling through water could cause the metal can to become energized.  why?  some unsuspecting homeowner cleaning up water ... well, lets see ... water on the floor ... feet in the water ... metal can becomes full and stop float fails to work.  water is drawn through the motor armature.  that situation is becoming dangerous.  i have had shut-off floats fail in the past during a flood water cleanup.

some sort of mechanism should be developed to ensure the safety of metal can vacuums, especially any vacuum that could be involved with water. 

i hope this information is useful in preventing someone from getting injured or worse.

thanks,
[redacted]",40330.0,,,,,,,,,,,,,,,,,,,,sl18130,6/8/2015 0:00,"this is a stanley shop vac model: sl-18130 and could apply to many steel can vacuums

i have been an electrician for over 20 years and use all sorts of tools including vacuums to clean up all sorts of different materials in the past.  this one incident is pretty serious.  the voltage and arc generated could be, in my opinion, lethal. 

this electrical charge was repeated several times and observed open air arc was 25-45mm from another grounded appliance (furnace duct work).  the ignition coil on a car idling won't discharge an arc like this at 20mm.  the accompanying arc snap volume was quite alarming.

the material being cleaned up was 1950's vintage plaster and dust which settled over a hot air furnace.  in one respect, tesla would have been pleased.

ungrounded metal catch can will generate dangerous capacitive voltage depending on the material collected.  none of my test equipment had the range to measure voltage, current or joules. this information is based on my own experience (getting zapped) and then actually causing the situation to occur several times while observing the arc's behavior.

to sum this issue in a few words:  it doesn't matter how the electrics are protected.  double insulated motors or grounded motors.  the point is the metal can was ungrounded and the materials being cleaned up caused a rare but dangerous situation.

here's the thing.  national electrical code clearly states that all metal for any electrical device must be bonded to ground.  this is a safety issue.  had this particular model simply put on any sort of ground to the can, the charge generated would have been safely discharged through the ground.

if i am not mistaken - underwriters lab also has rules for metal encased appliances - i.e. the use of a grounded power cord.  i test grounds on all 3 prong tools on job sites (as per osha).

this vacuum has a 3 prong cord (nema 5-15p) but the ground was never extended to the metal can.  

my fix: 16ga wire to a small copper strip positioned across the gasket.  when the vacuum lid is closed, the strip comes into contact with the can.  the copper strip under the seal provides an adequate ground path to discharge any stray or capacitive charges.

such a fix should be used on any metal can shop vac, especially those used to collect water.  120v traveling through water could cause the metal can to become energized.  why?  some unsuspecting homeowner cleaning up water ... well, lets see ... water on the floor ... feet in the water ... metal can becomes full and stop float fails to work.  water is drawn through the motor armature.  that situation is becoming dangerous.  i have had shut-off floats fail in the past during a flood water cleanup.

some sort of mechanism should be developed to ensure the safety of metal can vacuums, especially any vacuum that could be involved with water. 

i hope this information is useful in preventing someone from getting injured or worse.

thanks,
[redacted]",40330.0
