No.,Title,Brand/ Manufacturer,Date,UPC codes,model.id,Summary,Repair Number,,Unnamed: 5,brand_names,retail_names,manufacturer,Title
1,IKEA Offers Free Wall Anchoring Repair Kit for Chests and Dressers Due to Tip-over Hazard After Two Children Died,IKEA,7/22/2015,,,"WASHINGTON, D.C. - The U.S. Consumer Product Safety Commission   (CPSC), in cooperation with IKEA North America, of Conshohocken, Pa, is   announcing a repair program that includes a free wall anchoring kit,  for  their MALM 3- and 4-drawer chests and two styles of MALM 6- drawer   chests, and other chests and dressers.  The chests and dressers can  pose  a tip-over hazard if not securely anchored to the wall.     IKEA received reports of two children who died after MALM chests   tipped over and fell on them.  Consumers should immediately stop using   all IKEA childrenÃ‚Â’s chests and dressers taller than 23 Ã‚Â½ inches and   adult chests and dressers taller than 29 Ã‚Â½ inches, unless they are   securely anchored to the wall.  The free wall anchoring kit should be   used to secure MALM and other IKEA chests and dressers to the wall.     About 7 million MALM chests and 20 million other IKEA chests and dressers are part of the nationwide repair program.     CPSC and IKEA received a report that in February 2014, a 2-year-old   boy from West Chester, Pa. died after a MALM 6-drawer chest (48 3/8   inches high) tipped over and fatally pinned him against his bed. CPSC   and IKEA also received a report that in June 2014, a 23-month old child   from Snohomish, Wash. died after he became trapped beneath a 3-drawer   (30 Ã‚Â¾ inches high) MALM chest that tipped over. Neither chest had been   secured to the wall.  IKEA and CPSC have also received 14 reports of   tip-over incidents involving MALM chests, resulting in four injuries.   Since 1989, IKEA is aware of three additional reports of deaths from   tip-overs involving other models of IKEA chests and dressers.     IKEA is offering U.S. consumers a wall anchoring repair kit free of   charge for use with the MALM chests, IKEA childrenÃ‚Â’s chests and dressers   taller than 23 Ã‚Â½ inches, and IKEA adult chests and dressers taller  than  29 Ã‚Â½ inches. The kit contains replacement tip-over restraints for  use  by any consumer who has not secured their IKEA chest or dresser to  the  wall. The kit also includes complete wall anchoring hardware,   instructions and warning labels to be affixed to the furniture.     CPSC and IKEA are urging consumers to inspect their IKEA chests and   dressers to ensure that they are securely anchored to the wall.   Consumers should move unanchored chests and dressers into storage or   other areas where they cannot be accessed by children until the chests   and dressers are properly anchored to the wall.     The MALM chests that are part of the repair program were sold starting in 2002.  The price of the chests range from about $80 to $200.     To receive a free wall anchoring kit, visit an IKEA retail store, go to www.IKEA-USA.com/saferhomestogether, or call (888) 966-4532.     A child dies every two weeks and a child is injured every 24 minutes   in the U.S. from furniture or TVs tipping over, according to CPSC data.   To help prevent injuries and deaths, CPSC and IKEA urge consumers to   securely anchor furniture and TVs to prevent these tragedies and make   their home a safer place. For more information, visit www.AnchorIt.gov and www.IKEA-USA.com/saferhomestogether.",15190,,,IKEA,IKEA,,IKEA Offers Free Wall Anchoring Repair Kit for Chests and Dressers Due to Tip-over Hazard After Two Children Died
2,Delta Cycle Recalls Ceiling Hoists with Straps Due to Injury Hazard,Delta,9/5/2024,,RS2300,"This recall involves Ceiling Hoists with Straps with model number RS2300. The model number is only listed on the product packaging. The product can lift bicycles, kayaks, ladders, boxes and other large objects off the floor using a pulley system. Note that no recall action is required if the ceiling hoists are used without the use of straps. Units affected by this recall will have serial numbers within one of the 16 ranges listed below on the bottom of the pulley, or will NOT have a serial number at all: Serial Number Ranges 65629-66828 112494-114493 115494-116502 131332-132819 165193-167192 187360-188895 220801-222800 264059-266058 396421-397428 428259-430258 464905-466408 1650319-1651326 1667038-1669037 1717501-1718044 1750965-1751972 1776082-1777089 The serial number is located on the underside of the flat part of the ~6"" long pulleys where the pulleys attach to the ceiling. Unscrew the flat plate from the ceiling to check the underside to locate the serial number.",24354,,https://www.cpsc.gov/Recalls/2024/Delta-Cycle-Recalls-Ceiling-Hoists-with-Straps-Due-to-Injury-Hazard,Delta,Delta,,Delta Cycle Recalls Ceiling Hoists with Straps Due to Injury Hazard
3,"HALO 1000 Portable Power Stations Recalled Due to Serious Fire and Burn Hazards; One Death Reported; Imported by ZAGG; Sold by ACG, QVC and ZAGG",HALO,8/29/2024,,PS-1000,"The portable power stations are high-capacity lithium-ion battery power banks with three USB-A charge ports, a USB-C fast charge port, three AC outputs, two DC outputs, a DC socket, an LCD display, a built-in flood light, and a collapsible handle. The following HALO 1000 Portable Power Stations are included in this recall: Product Description/Color Model Number SKU UPC Stone Gray PS-1000 801108111 840056145528 Carbon PS-1000 801108112 840056145535 Desert Sand PS-1000 801108113 840056145542 Midnight Blue PS-1000 801108114 840056145559 Woodland Green PS-1000 801108115 840056145566 The model number, SKU number and UPC are located on the bottom of the product. Units sold by QVC subject to the recall were sold under QVC item number E235474.",24350,,https://www.cpsc.gov/Recalls/2024/HALO-1000-Portable-Power-Stations-Recalled-Due-to-Serious-Fire-and-Burn-Hazards-One-Death-Reported-Imported-by-ZAGG-Sold-by-ACG-QVC-and-ZAGG,HALO, ,,"HALO 1000 Portable Power Stations Recalled Due to Serious Fire and Burn Hazards; One Death Reported; Imported by ZAGG; Sold by ACG, QVC and ZAGG"
4,Fisher-Price Recalls Dumbbell Toy in Baby Biceps Gift Sets Due to Choking Hazard,Fisher,8/29/2024,,GJD49,This recall involves the plastic dumbbell toy sold with the Fisher-Price Baby Biceps Gift Set. The bar of the dumbbell toy is gray with orange and red plastic weights on each side. The model number GJD49 is located on the back of the kettlebell toy in the gift set.,24351,,https://www.cpsc.gov/Recalls/2024/Fisher-Price-Recalls-Dumbbell-Toy-in-Baby-Biceps-Gift-Sets-Due-to-Choking-Hazard,Fisher-Price,-,,Fisher-Price Recalls Dumbbell Toy in Baby Biceps Gift Sets Due to Choking Hazard
7,Head Rush Technologies Recalls TRUBLUE Speed Auto Belay Devices Due to Fall Hazard,Head,8/22/2024,,TBSD150-20,"This recall involves Head Rush Technologies TRUBLUE Speed Auto Belay Devices, 12.5m and 16m versions. The device enables climbers to safely descend after a speed climbing event. The device is gray with blue handles, the 12.5m version has black webbing handgrip above the carabiner, and the 16m version has blue webbing handgrip. The model TRUBLUE Speed TBSD150-20 and serial number are on a label located on the handle. The auto belay devices have a serial number within the serial number range: TBSD00098 through TBSD01180.",24347,,https://www.cpsc.gov/Recalls/2024/Head-Rush-Technologies-Recalls-TRUBLUE-Speed-Auto-Belay-Devices-Due-to-Fall-Hazard,Head, ,,Head Rush Technologies Recalls TRUBLUE Speed Auto Belay Devices Due to Fall Hazard
8,Shawshank LEDz Recalls Squeeze Plush Ball Monsters Toys and Easter Squeezable Toys Due to Injury Hazard; Sold Exclusively at Ace Hardware,Shawshank,8/22/2024,,"702053, 768152","This recall involves the Monster Squeezable and Easter Squeezable designs of the Squeeze Plush Ball toys. The Monster Squeezable toys have model number 702053 and UPC code 810447020536, and Easter Squeezable toys have model number 768152 and UPC code 810067681520. The model number and UPC code are printed on a removable hang tag. The lot numbers that are included (PC: 0224 for Squeeze Plush Ball Monsters and PC:1223 for Easter Squeezable) are printed on the top right corner of the permanent sewn-on tag.",24348,,https://www.cpsc.gov/Recalls/2024/Shawshank-LEDz-Recalls-Squeeze-Plush-Ball-Monsters-Toys-and-Easter-Squeezable-Toys-Due-to-Injury-Hazard-Sold-Exclusively-at-Ace-Hardware, , ,,Shawshank LEDz Recalls Squeeze Plush Ball Monsters Toys and Easter Squeezable Toys Due to Injury Hazard; Sold Exclusively at Ace Hardware
10,ALDI Recalls Ambiano Single Serve Coffee Makers Due to Burn Hazard,ALDI,8/15/2024,,"4061464174788, 4061464174801, 4061464174849, 4061464174825, 4061464174863","This recall involves the Ambiano Single Serve Coffee Maker. The coffee maker was sold in gray, blue, pink, and purple colors, and measures approximately L 11"", W 4.7"" and H 12."" Ambiano is printed on the side of the coffee maker. Model numbers and UPC Codes on the rating label on the bottom of the unit: Product Name UPC Codes Model Numbers Ambiano Single Serve Coffee Maker 4061464174788, 4061464174801, 4061464174849, 4061464174825, 4061464174863 708924 708925",24341,,https://www.cpsc.gov/Recalls/2024/ALDI-Recalls-Ambiano-Single-Serve-Coffee-Makers-Due-to-Burn-Hazard, ,ALDI,,ALDI Recalls Ambiano Single Serve Coffee Makers Due to Burn Hazard
12,IKEA Recalls VARMFRONT Power Banks Due to Fire Hazard,IKEA,8/15/2024,,"E2037,E2038","This recall involves two IKEA VARMFRONT Power Banks with model numbers E2037 and E2038. The power banks are blue in color. Model E2037 has one USB-A port, one USB-C port, measures about four inches long and two inches wide, and has one of the following date codes (YYWW): 2318, 2319, 2322. Model E2038 has two USB-A ports, one USB-C port, measures about four inches long and three inches wide, and has one of the following date codes (YYWW): 2313, 2316, 2318, 2319. The model number is listed at the top of the back side of the power banks, and date code is printed on the bottom of the back side of the power banks.",24344,,https://www.cpsc.gov/Recalls/2024/IKEA-Recalls-VARMFRONT-Power-Banks-Due-to-Fire-Hazard,IKEA,IKEA,,IKEA Recalls VARMFRONT Power Banks Due to Fire Hazard
13,Stanley Black & Decker Recalls DeWALT Battery Walk-Behind Mowers Due to Laceration Hazard,Stanley,8/15/2024,,"DCMWP234U2,DCMWP600X2","This recall involves 2024 model year DeWALT Battery 21"" Push walk-behind mowers, model numbers DCMWP234U2 and DCMWP600X2, and DeWALT Battery 21"" Self-Propelled walk-behind mowers, model numbers DCMWSP256U2 and DCMWSP650Y2. The mowers are black, gray and yellow and have DeWALT printed in yellow on the front or side of the mower. The model number is printed on the rear door of the mower. A date code formatted as 20XX YY-58, with 20XX for year, YY for week, and 58 as the factory code, is laser-printed in yellow on the left side of the mower, just above the left rear wheel. Only date codes 2023 32-58 through 2024 13-58 are affected. Mowers manufactured after March 2024 (2024 14-58) are not affected.",24345,,https://www.cpsc.gov/Recalls/2024/Stanley-Black-Decker-Recalls-DeWALT-Battery-Walk-Behind-Mowers-Due-to-Laceration-Hazard,Stanley, ,,Stanley Black & Decker Recalls DeWALT Battery Walk-Behind Mowers Due to Laceration Hazard
14,BJ's Wholesale Club Recalls Berkley Jensen Gazebos Due to Injury Hazard (Recall Alert),BJ's,8/15/2024,,"A102008010, A102008100, A102011920, A102011902","This recall involves Berkley Jensen branded cedar hard-topped gazebos with model numbers A102008010, A102008100, A102011920, and A102011902. The gazebos measure about 10 feet by 12 feet, or 12 feet by 14 feet. They were sold in copper color, which may appear brown, or black; and with or without netting panels and tie-back bands. Only these models sold during the dates identified below are included in this recall.",24745,,https://www.cpsc.gov/Recalls/2024/BJs-Wholesale-Club-Recalls-Berkley-Jensen-Gazebos-Due-to-Injury-Hazard-Recall-Alert,BJ's Wholesale Club,BJ's Wholesale Club,BJ's Wholesale Club,BJ's Wholesale Club Recalls Berkley Jensen Gazebos Due to Injury Hazard (Recall Alert)
